"idcomm","id","pop2000","commtrust","male","white","married","relighet","disadvantage","age","educate","income","commlength","trust"
25,10001,917,0.348646253347397,0,1,0,0.277208805084229,-1.21896409988403,42,5,2,42,0
25,10004,917,-0.433665871620178,0,1,1,0.277208805084229,-1.21896409988403,68,3,4,50,0
25,10005,917,-1.54569911956787,1,1,1,0.277208805084229,-1.21896409988403,58,3,3,50,0
25,10008,917,-0.707268834114075,0,1,0,0.277208805084229,-1.21896409988403,37,5,2,5,0
25,10009,917,-0.264115780591965,1,1,1,0.277208805084229,-1.21896409988403,64,4,8,30,0
25,10012,917,0.465349644422531,0,1,0,0.277208805084229,-1.21896409988403,69,3,3,69,0
25,10013,917,-0.595742881298065,1,1,1,0.277208805084229,-1.21896409988403,33,3,6,9,0
25,10015,917,0.528129935264587,0,1,0,0.277208805084229,-1.21896409988403,74,6,3,30,0
25,10016,917,0.438909292221069,1,1,1,0.277208805084229,-1.21896409988403,41,6,7,11,0
25,10017,917,-0.0969540178775787,0,1,0,0.277208805084229,-1.21896409988403,47,3,2,8,0
25,10020,917,-1.3899792432785,0,1,1,0.277208805084229,-1.21896409988403,41,3,4,30,0
25,10022,917,-0.87908262014389,1,1,1,0.277208805084229,-1.21896409988403,56,4,4,5,0
25,10026,917,1.42978143692017,0,1,1,0.277208805084229,-1.21896409988403,33,6,6,2,1
25,10028,917,0.119469188153744,0,1,1,0.277208805084229,-1.21896409988403,71,3,7,71,0
25,10029,917,0.0299163907766342,0,1,1,0.277208805084229,-1.21896409988403,58,4,6,25,0
25,10030,917,0.376583367586136,0,1,1,0.277208805084229,-1.21896409988403,47,3,8,2,0
25,10032,917,0.00356723228469491,0,1,1,0.277208805084229,-1.21896409988403,42,4,4,19,0
25,10033,917,0.376583367586136,1,1,1,0.277208805084229,-1.21896409988403,61,7,4,4,0
25,10034,917,0.878783166408539,0,1,1,0.277208805084229,-1.21896409988403,59,3,4,33,0
25,10036,917,-0.94354385137558,0,1,0,0.277208805084229,-1.21896409988403,82,3,0,27,0
25,10041,917,-2.56018209457397,0,1,0,0.277208805084229,-1.21896409988403,27,5,3,1,0
25,10042,917,-1.87280714511871,0,1,0,0.277208805084229,-1.21896409988403,59,3,3,10,0
25,10044,917,-0.219224318861961,0,1,1,0.277208805084229,-1.21896409988403,62,4,6,40,0
25,10045,917,1.09809362888336,1,1,1,0.277208805084229,-1.21896409988403,50,5,4,2,1
25,10046,917,0.909219205379486,1,0,1,0.277208805084229,-1.21896409988403,34,4,2,13,0
25,10047,917,-0.394060701131821,0,1,1,0.277208805084229,-1.21896409988403,43,6,2,20,0
25,10048,917,0.901498913764954,1,1,1,0.277208805084229,-1.21896409988403,81,3,2,38,0
25,10049,917,1.31774806976318,1,1,1,0.277208805084229,-1.21896409988403,67,3,5,27,1
25,10050,917,-1.04407119750977,0,1,0,0.277208805084229,-1.21896409988403,40,4,2,10,0
25,10051,917,1.54392683506012,0,1,1,0.277208805084229,-1.21896409988403,33,5,8,2,1
25,10053,917,-1.58272612094879,1,1,1,0.277208805084229,-1.21896409988403,50,5,6,16,0
25,10054,917,-0.366690129041672,0,1,1,0.277208805084229,-1.21896409988403,58,3,2,3,0
25,10056,917,-0.743197083473206,1,1,1,0.277208805084229,-1.21896409988403,68,3,5,23,0
25,10057,917,1.86846029758453,1,1,1,0.277208805084229,-1.21896409988403,67,6,3,33,1
25,10058,917,0.875991404056549,0,1,0,0.277208805084229,-1.21896409988403,85,4,2,66,0
25,10059,917,-1.3644734621048,0,1,0,0.277208805084229,-1.21896409988403,71,3,1,24,0
25,10061,917,-0.176941514015198,1,1,0,0.277208805084229,-1.21896409988403,63,3,0,54,0
25,10062,917,-0.17479981482029,0,1,1,0.277208805084229,-1.21896409988403,76,3,1,75,0
25,10063,917,0.345115929841995,0,1,1,0.277208805084229,-1.21896409988403,36,6,4,6,0
25,10064,917,0.406337767839432,0,1,1,0.277208805084229,-1.21896409988403,53,7,1,32,0
25,10065,917,1.32474339008331,1,1,1,0.277208805084229,-1.21896409988403,44,7,8,10,1
25,10066,917,-0.804393708705902,0,1,1,0.277208805084229,-1.21896409988403,76,4,3,33,0
25,10067,917,0.659794270992279,0,1,1,0.277208805084229,-1.21896409988403,44,4,5,40,0
25,10068,917,-0.263566106557846,0,1,1,0.277208805084229,-1.21896409988403,65,4,5,11,0
25,10070,917,-1.00365948677063,0,1,0,0.277208805084229,-1.21896409988403,29,5,5,20,0
25,10073,917,0.232899308204651,1,1,1,0.277208805084229,-1.21896409988403,80,4,8,54,0
25,10074,917,-1.22573709487915,0,1,1,0.277208805084229,-1.21896409988403,68,3,2,38,0
25,10077,917,-0.85909903049469,0,1,1,0.277208805084229,-1.21896409988403,29,5,4,24,0
25,10079,917,0.0674258321523666,1,1,1,0.277208805084229,-1.21896409988403,66,3,3,35,0
25,10082,917,0.607307255268097,0,1,0,0.277208805084229,-1.21896409988403,26,3,1,3,0
25,10083,917,1.01766955852509,0,1,0,0.277208805084229,-1.21896409988403,87,4,2,65,1
25,10084,917,0.964108884334564,0,1,1,0.277208805084229,-1.21896409988403,58,4,4,20,0
25,10086,917,-0.693509459495544,0,1,1,0.277208805084229,-1.21896409988403,29,7,6,6,0
25,10088,917,-2.44352006912231,0,1,1,0.277208805084229,-1.21896409988403,30,6,8,6,0
25,10089,917,0.834174394607544,0,1,0,0.277208805084229,-1.21896409988403,73,3,1,61,0
25,10090,917,-0.263566106557846,0,1,0,0.277208805084229,-1.21896409988403,34,6,3,30,0
25,10091,917,0.983325600624084,0,1,0,0.277208805084229,-1.21896409988403,73,3,1,70,0
25,10092,917,0.0345964357256889,1,1,0,0.277208805084229,-1.21896409988403,51,4,3,50,0
25,10096,917,0.0114495344460011,0,1,0,0.277208805084229,-1.21896409988403,45,4,3,46,0
25,10098,917,1.01119494438171,0,1,0,0.277208805084229,-1.21896409988403,44,5,4,44,1
25,10099,917,-0.103336989879608,0,1,0,0.277208805084229,-1.21896409988403,75,4,3,75,0
25,10100,917,-0.915331363677979,0,1,1,0.277208805084229,-1.21896409988403,66,3,3,66,0
25,10101,917,0.679211795330048,0,1,0,0.277208805084229,-1.21896409988403,96,3,2,32,0
25,10102,917,-0.402020424604416,0,1,0,0.277208805084229,-1.21896409988403,45,3,3,25,0
25,10103,917,-0.0798003301024437,0,1,1,0.277208805084229,-1.21896409988403,75,3,2,32,0
25,10105,917,0.81192547082901,1,1,1,0.277208805084229,-1.21896409988403,54,3,5,8,0
25,10106,917,0.797503054141998,0,1,1,0.277208805084229,-1.21896409988403,28,5,5,7,0
25,10108,917,1.12462747097015,1,1,0,0.277208805084229,-1.21896409988403,85,2,4,77,1
25,10109,917,-0.840929567813873,0,1,0,0.277208805084229,-1.21896409988403,83,3,1,28,0
25,10111,917,-0.270593047142029,0,1,1,0.277208805084229,-1.21896409988403,49,5,3,24,0
25,10112,917,0.120401971042156,0,1,1,0.277208805084229,-1.21896409988403,53,7,1,28,0
25,10113,917,-0.898481786251068,1,1,1,0.277208805084229,-1.21896409988403,42,3,4,17,0
25,10115,917,-0.473475188016891,1,1,1,0.277208805084229,-1.21896409988403,78,3,3,78,0
25,10116,917,1.45179188251495,0,1,0,0.277208805084229,-1.21896409988403,70,3,3,55,1
25,10117,917,-0.215894028544426,1,1,1,0.277208805084229,-1.21896409988403,76,6,3,76,0
25,10119,917,1.01545059680939,0,1,0,0.277208805084229,-1.21896409988403,58,4,2,7,1
25,10121,917,0.612634241580963,1,1,1,0.277208805084229,-1.21896409988403,29,6,5,2,0
25,10125,917,-0.0340020321309567,1,1,0,0.277208805084229,-1.21896409988403,64,3,5,64,0
25,10127,917,1.65684330463409,1,1,1,0.277208805084229,-1.21896409988403,81,3,3,17,1
25,10128,917,-0.739363551139832,0,1,1,0.277208805084229,-1.21896409988403,49,3,1,8,0
25,10130,917,1.12514662742615,0,1,1,0.277208805084229,-1.21896409988403,35,6,8,3,1
25,10135,917,-1.17147839069366,0,1,1,0.277208805084229,-1.21896409988403,23,5,4,3,0
25,10136,917,-0.434335857629776,0,1,1,0.277208805084229,-1.21896409988403,43,3,3,43,0
25,10137,917,0.16928094625473,1,1,0,0.277208805084229,-1.21896409988403,59,3,4,59,0
25,10138,917,-2.30800247192383,0,1,1,0.277208805084229,-1.21896409988403,60,4,5,60,0
25,10139,917,-0.218507960438728,1,1,1,0.277208805084229,-1.21896409988403,38,3,7,29,0
25,10140,917,0.342998266220093,0,1,0,0.277208805084229,-1.21896409988403,75,4,3,75,0
25,10141,917,1.01119494438171,1,1,1,0.277208805084229,-1.21896409988403,45,3,8,23,1
25,10144,917,-2.17610573768616,0,1,1,0.277208805084229,-1.21896409988403,39,3,3,11,0
25,10145,917,-1.5374801158905,0,1,1,0.277208805084229,-1.21896409988403,67,5,3,25,0
25,10146,917,-0.212513953447342,0,1,1,0.277208805084229,-1.21896409988403,47,4,8,45,0
25,10147,917,-1.01496458053589,1,1,1,0.277208805084229,-1.21896409988403,37,4,4,10,0
25,10148,917,-2.85407900810242,0,1,0,0.277208805084229,-1.21896409988403,52,4,1,26,0
25,10149,917,-0.52328234910965,1,1,1,0.277208805084229,-1.21896409988403,58,3,4,35,0
25,10150,917,0.797332763671875,0,1,1,0.277208805084229,-1.21896409988403,36,6,3,3,0
25,10152,917,1.00446999073029,0,1,1,0.277208805084229,-1.21896409988403,49,4,2,28,1
30,20001,622,-0.691625535488129,1,1,0,0.183221474289894,0.314355850219727,70,1,2,19,0
30,20003,622,1.04748773574829,1,1,1,0.183221474289894,0.314355850219727,76,3,4,11,1
30,20005,622,0.116867110133171,0,1,1,0.183221474289894,0.314355850219727,43,6,4,8,0
30,20008,622,-0.198031723499298,0,1,1,0.183221474289894,0.314355850219727,73,3,6,42,0
30,20009,622,0.229539066553116,1,1,1,0.183221474289894,0.314355850219727,72,3,2,55,0
30,20010,622,0.718766927719116,1,1,1,0.183221474289894,0.314355850219727,59,3,4,46,0
30,20011,622,0.76472669839859,0,1,0,0.183221474289894,0.314355850219727,80,3,3,46,0
30,20012,622,0.126827970147133,0,1,0,0.183221474289894,0.314355850219727,83,1,2,12,0
30,20013,622,0.771669328212738,1,1,1,0.183221474289894,0.314355850219727,76,3,4,8,0
30,20015,622,0.425046414136887,0,1,1,0.183221474289894,0.314355850219727,63,4,4,34,0
30,20016,622,1.33676362037659,0,1,1,0.183221474289894,0.314355850219727,45,6,4,8,1
30,20018,622,-1.15911793708801,0,1,1,0.183221474289894,0.314355850219727,58,3,3,35,0
30,20019,622,0.900057733058929,1,1,1,0.183221474289894,0.314355850219727,59,5,6,30,0
30,20020,622,2.09348297119141,0,1,0,0.183221474289894,0.314355850219727,81,4,2,55,1
30,20023,622,-0.914259016513824,0,1,0,0.183221474289894,0.314355850219727,64,6,2,27,0
30,20026,622,-0.065924808382988,0,1,1,0.183221474289894,0.314355850219727,54,3,5,20,0
30,20028,622,0.244171589612961,0,1,0,0.183221474289894,0.314355850219727,69,4,2,35,0
30,20029,622,-0.945767819881439,1,1,0,0.183221474289894,0.314355850219727,38,5,2,4,0
30,20030,622,1.68495583534241,0,1,0,0.183221474289894,0.314355850219727,81,4,3,68,1
30,20033,622,0.660260438919067,1,1,1,0.183221474289894,0.314355850219727,82,4,4,8,0
30,20039,622,1.21019101142883,0,1,1,0.183221474289894,0.314355850219727,37,3,6,37,1
30,20042,622,0.843351244926453,0,1,0,0.183221474289894,0.314355850219727,89,3,1,66,0
30,20045,622,-3.180908203125,1,1,1,0.183221474289894,0.314355850219727,74,1,2,15,0
30,20046,622,1.33459770679474,0,1,1,0.183221474289894,0.314355850219727,78,2,2,50,1
30,20047,622,0.143246874213219,1,1,1,0.183221474289894,0.314355850219727,67,3,4,40,0
30,20048,622,0.514773547649384,0,1,1,0.183221474289894,0.314355850219727,59,3,2,12,0
30,20049,622,-0.906560063362122,1,1,1,0.183221474289894,0.314355850219727,33,6,6,2,0
30,20052,622,-0.380010932683945,0,1,1,0.183221474289894,0.314355850219727,78,3,4,48,0
30,20056,622,1.35894954204559,1,1,1,0.183221474289894,0.314355850219727,41,4,6,20,1
30,20057,622,-0.278158754110336,0,1,0,0.183221474289894,0.314355850219727,59,3,2,3,0
30,20058,622,-0.0538200102746487,0,1,1,0.183221474289894,0.314355850219727,46,5,5,25,0
30,20060,622,1.33459770679474,0,1,0,0.183221474289894,0.314355850219727,82,3,1,6,1
30,20062,622,-0.529082059860229,1,0,1,0.183221474289894,0.314355850219727,48,5,5,10,0
30,20063,622,-0.0714938193559647,0,1,0,0.183221474289894,0.314355850219727,43,5,6,6,0
30,20065,622,-1.10017132759094,1,1,1,0.183221474289894,0.314355850219727,84,2,3,5,0
30,20066,622,-0.193731501698494,1,1,0,0.183221474289894,0.314355850219727,44,4,5,25,0
30,20068,622,0.156482562422752,0,1,1,0.183221474289894,0.314355850219727,34,2,6,4,0
30,20069,622,-0.885036826133728,0,1,1,0.183221474289894,0.314355850219727,77,3,5,16,0
30,20070,622,0.0448803901672363,1,1,1,0.183221474289894,0.314355850219727,55,3,4,6,0
30,20071,622,0.49591127038002,0,1,1,0.183221474289894,0.314355850219727,54,4,2,13,0
30,20072,622,0.974759876728058,0,1,0,0.183221474289894,0.314355850219727,67,3,1,19,0
30,20073,622,-0.228283047676086,0,1,1,0.183221474289894,0.314355850219727,66,3,1,34,0
30,20075,622,-0.298340082168579,1,1,1,0.183221474289894,0.314355850219727,51,3,6,51,0
30,20077,622,0.589666903018951,1,1,1,0.183221474289894,0.314355850219727,67,4,5,45,0
30,20078,622,0.175562307238579,0,1,1,0.183221474289894,0.314355850219727,38,4,6,11,0
30,20080,622,0.828196346759796,1,1,1,0.183221474289894,0.314355850219727,53,3,5,53,0
30,20081,622,-0.322911381721497,0,1,0,0.183221474289894,0.314355850219727,97,6,4,97,0
30,20085,622,0.00356723228469491,1,0,1,0.183221474289894,0.314355850219727,79,3,1,69,0
30,20086,622,1.65031206607819,0,1,1,0.183221474289894,0.314355850219727,70,5,3,27,1
30,20088,622,0.554811239242554,1,1,1,0.183221474289894,0.314355850219727,54,5,4,27,0
30,20089,622,-0.546524703502655,0,1,1,0.183221474289894,0.314355850219727,49,4,5,27,0
30,20090,622,1.12093341350555,1,1,1,0.183221474289894,0.314355850219727,62,3,2,3,1
30,20095,622,1.01908874511719,1,1,1,0.183221474289894,0.314355850219727,56,4,8,6,1
30,20096,622,-0.681773722171783,0,1,0,0.183221474289894,0.314355850219727,77,3,1,40,0
30,20097,622,-0.654540240764618,0,1,0,0.183221474289894,0.314355850219727,78,3,1,46,0
30,20099,622,0.251361876726151,0,1,0,0.183221474289894,0.314355850219727,70,3,2,51,0
30,20100,622,-2.89619660377502,0,1,1,0.183221474289894,0.314355850219727,43,6,1,43,0
30,20101,622,-0.520315110683441,0,1,1,0.183221474289894,0.314355850219727,73,4,3,19,0
30,20102,622,-1.945441365242,0,1,1,0.183221474289894,0.314355850219727,61,2,3,12,0
30,20103,622,1.22563636302948,1,1,1,0.183221474289894,0.314355850219727,43,3,5,8,1
