"neighid","familywealth","socialcapital","dadocc","dadunemp","dadeduc","momeduc","male","deprive"
26,0.560999989509583,2.97199988365173,2.31599998474121,0,0,0,0,-0.550999999046326
26,1.51769995689392,1.97200000286102,-9.0939998626709,0,0,0,0,-0.550999999046326
26,-1.32760000228882,-1.02799999713898,-3.4539999961853,0,0,0,1,-0.550999999046326
26,1.51769995689392,17.9720001220703,16.1959991455078,0,0,0,1,-0.550999999046326
26,-1.32760000228882,-10.0279998779297,-3.4539999961853,0,0,0,0,-0.550999999046326
27,-0.132499992847443,3.97199988365173,-3.4539999961853,0,0,1,0,0.146999999880791
29,0.0293000005185604,8.97200012207031,16.1959991455078,0,1,1,1,-0.0829999968409538
29,-0.360000014305115,-8.02799987792969,-3.4539999961853,0,0,0,0,-0.0829999968409538
29,0.158199995756149,4.97200012207031,-11.4940004348755,0,0,0,1,-0.0829999968409538
29,0.158199995756149,1.97200000286102,-11.4940004348755,0,0,0,0,-0.0829999968409538
29,0.735000014305115,-4.02799987792969,-3.4539999961853,0,0,0,1,-0.0829999968409538
29,-1.32760000228882,-17.0279998779297,-3.4539999961853,0,0,0,1,-0.0829999968409538
29,-1.32760000228882,-8.02799987792969,-3.4539999961853,0,0,0,0,-0.0829999968409538
29,-1.32760000228882,-15.0279998779297,-3.4539999961853,0,0,0,0,-0.0829999968409538
29,0.560999989509583,-0.0280000008642673,-3.4539999961853,0,0,0,0,-0.0829999968409538
30,-0.132499992847443,-0.0280000008642673,-11.4940004348755,0,0,0,1,-0.273999989032745
30,1.51769995689392,0.972000002861023,29.2259998321533,0,1,0,1,-0.273999989032745
31,2.41510009765625,2.97199988365173,16.1959991455078,0,1,1,1,0.00700000021606684
31,-1.32760000228882,-16.0279998779297,-3.4539999961853,0,0,0,1,0.00700000021606684
32,0.264099985361099,0.972000002861023,2.31599998474121,0,0,0,1,-0.194999992847443
32,-0.360000014305115,-0.0280000008642673,-23.4540004730225,0,0,0,0,-0.194999992847443
32,-0.360000014305115,-1.02799999713898,-3.4539999961853,0,0,0,0,-0.194999992847443
32,0.0293000005185604,7.97200012207031,-3.4539999961853,0,0,0,1,-0.194999992847443
32,0.0293000005185604,6.97200012207031,-3.4539999961853,0,0,0,1,-0.194999992847443
32,0.735000014305115,-1.02799999713898,29.2259998321533,0,0,0,0,-0.194999992847443
33,-0.360000014305115,-4.02799987792969,-3.4539999961853,0,0,0,0,0.544000029563904
33,-1.32760000228882,-5.02799987792969,-11.4940004348755,0,1,1,1,0.544000029563904
33,-1.32760000228882,-18.0279998779297,-9.0939998626709,1,0,0,0,0.544000029563904
33,-0.360000014305115,-4.02799987792969,-3.4539999961853,0,0,0,1,0.544000029563904
35,-1.32760000228882,-15.0279998779297,-3.4539999961853,0,0,0,1,0.324999988079071
35,-1.32760000228882,-16.0279998779297,-9.0939998626709,0,0,0,1,0.324999988079071
35,-1.32760000228882,-9.02799987792969,-3.4539999961853,0,0,0,0,0.324999988079071
36,0.264099985361099,6.97200012207031,16.1959991455078,0,0,1,0,0.215000003576279
36,0.735000014305115,-1.02799999713898,2.31599998474121,0,0,0,1,0.215000003576279
37,-1.32760000228882,-21.0279998779297,-9.0939998626709,1,0,0,1,0.767000019550323
38,-1.32760000228882,-8.02799987792969,-9.0939998626709,0,0,0,1,-0.349000006914139
38,-1.32760000228882,-1.02799999713898,-3.4539999961853,0,0,0,1,-0.349000006914139
