"ident","age","cohes","esteem","grades","sattach","stress"
5,11,61.2560005187988,32,15,21,0
6,14,49,33,17,22,0
10,14,35,27,15,28,0
15,11,74,34,14,33,0
16,14,58,29,15,28,0
25,14,39,26,8,17,2
40,11,64,29,18,26,0
45,13,49,33,13,23,1
60,14,54,30,20,25,0
80,12,47.3030014038086,35.3240013122559,15,23,0
85,14,60,24,17.8320007324219,17,0
90,13,50,31,16,26,2
95,13,70,31,16,32,1
100,13,42,18.8729991912842,12,19,2
105,13,65,40,15,32,0
115,11,50,23,17,20,4
116,13,30,32,13,25,2
116,14,46,33,13,20,4
120,14,66,36,20,28,0
135,14,66,32,19,33,0
140,12,48,32,19,28,1
141,14,58,29,16,29,0
145,14,55,35,16,23,1
155,13,57,34,13,34,1
160,14,36,26,14,26,0
165,14,42,33,20,27,0
170,11,44,27,13,26,0
171,13,58,30,16,28,0
190,14,44,31,19,25,1
195,14,58,33,19,21,0
200,14,44,31,14,20,0
210,13,53,30,18,31,0
215,12,65.8970031738281,35,19,8.22799968719482,0
216,14,51,31,18,33,0
225,11,41,35,16,29,0
226,13,53,31,8,30,0
230,13,54,32,15,30,0
235,13,41,35,16,32,1
245,13,50,37,14,20,0
250,14,56,32,16,18,3
260,14,59,34,20,30,2
265,13,37,37,14,19,0
270,13,59,35,15,20,3
300,13,50,37,19,30,1
305,14,26,22,11,11,9
310,14,71,37,20,35,2
315,13,69,36,15,16,4
320,13,34,40,14,17,3
330,13,63,29,15,32,0
335,12,69.9079971313477,32,20,33,1
340,13,37,34,12,24,3
345,13,42,33,16,27,4
350,13,71,34,16,26,3
355,12,49,33,15,32,0
356,14,57,29,12,23,0
365,12,43,33,9,27,2
370,12,52,29.4829998016357,17,22,3
375,13,26,25,14,13,4
380,12,72,40,19,36,4
390,13,60,34,12,28,0
405,12,67,36,17,30,2
410,14,63,36,20,29,2
415,12,47,27,14,26,2
420,12,65,36.0810012817383,20,35,0
425,13,53,30,17,32,1
426,14,57,30.3239994049072,10,20,1
430,11,39,30,13,22,0
435,12,55,35,19,30,1
436,14,59,36,18,25,2
440,12,38,36,16,29,5
445,11,34,24,12,19,1
446,13,63,31,20,24,0
450,12,58,38,16,28,2
455,14,59,32,14,32,0
470,12,49,28,17,21,0
471,14,63,30,17,27,2
475,12,23.2560005187988,34,12,16,1
480,12,46,27,12,22,0
485,12,62,39,12.8319997787476,35,0
490,11,43,29,20,30,1
495,12,64,31,19,31,2
496,13,73,40,18,36,1
500,11,64,38,13,29.7360000610352,1
501,14,66,34,16,20,0
515,12,39,24,20,19,0
516,13,61,28,20,28,1
520,13,69,37,20,31,3
525,13,66,30,12,34,0
535,13,56,27,14,29,2
540,11,51,25,12,20,1
541,13,63,27.5750007629395,17,24,0
550,13,60,34,12,28,0
575,11,45,31,10,30.4869995117188,1
576,13,40,32,19,26.4869995117188,1
576,14,36,33,10,23,2
585,13,54,31,7,29,3
590,11,50,33,13,32,5
591,12,47,32,14,32,5
595,12,53,35,12,22.7360000610352,3
610,13,50,28,16,18,6
625,13,33,25,15.8319997787476,14,4
635,11,46,29,17,36,0
640,12,64,37,17,34,0
645,12,63,38,19,31,0
646,13,61,31,12,20,0
650,13,60,32,15,30,1
655,14,67,33,12,26,0
660,12,38,32,14,19,5
670,13,44,29,17,31,0
675,13,58,30,13,30,0
680,12,74,29,18,29,0
681,14,47,27,12,21,0
685,14,72,37,13,30,3
690,13,47.9879989624023,33,16,21,7
695,11,69,33,18,30,1
710,11,53,36,18,33,2
711,11,53,24,18,21,3
715,12,53,32,7,32,1
730,11,49,35,17,36,2
