"ident","year","age","married","nevermarr","collgrad","union","wks_ue","tenure","ln_wage","divorced","white","black","otherrace"
1,70,18,0,1,0,0,2,0.0833333358168602,1.45121395587921,0,0,1,0
1,71,19,1,0,0,0,22,0.0833333358168602,1.02861976623535,0,0,1,0
1,72,20,1,0,0,1,0,0.916666686534882,1.58997738361359,0,0,1,0
1,73,21,1,0,0,0,0,0.0833333358168602,1.78027284145355,0,0,1,0
1,75,23,1,0,0,0,0,0.16666667163372,1.77701163291931,0,0,1,0
1,77,25,0,0,0,0,0,1.5,1.77868056297302,1,0,1,0
1,78,26,0,0,0,0,7,0.0833333358168602,2.49397587776184,1,0,1,0
1,80,28,0,0,0,1,0,1.83333337306976,2.55171537399292,1,0,1,0
1,83,31,0,0,0,1,0,0.666666686534882,2.42026138305664,1,0,1,0
1,85,33,0,0,0,1,0,1.91666662693024,2.61417245864868,1,0,1,0
1,87,35,0,0,0,1,0,3.91666674613953,2.53637361526489,1,0,1,0
1,88,37,0,0,0,1,0,5.33333349227905,2.46292734146118,1,0,1,0
2,71,19,1,0,0,0,19,0.25,1.36034822463989,0,0,1,0
2,72,20,1,0,0,0,6,1,1.20619750022888,0,0,1,0
2,73,21,1,0,0,0,35,0.333333343267441,1.54988288879395,0,0,1,0
2,75,23,1,0,0,0,0,0.666666686534882,1.8325811624527,0,0,1,0
2,77,25,1,0,0,1,0,2.66666674613953,1.7267210483551,0,0,1,0
2,78,26,1,0,0,1,0,3.66666674613953,1.68991005420685,0,0,1,0
2,80,28,1,0,0,1,0,5.58333349227905,1.7269641160965,0,0,1,0
2,82,30,1,0,0,1,0,7.66666650772095,1.80828857421875,0,0,1,0
2,83,31,1,0,0,1,12,8.58333301544189,1.8634170293808,0,0,1,0
2,85,33,0,0,0,1,4,1.83333337306976,1.78936660289764,1,0,1,0
2,88,37,0,0,0,1,0,5.25,1.85644853115082,1,0,1,0
3,68,22,0,1,0,0,0,0,1.49356138706207,0,0,1,0
3,69,23,0,1,0,0,0,0.333333343267441,1.7025283575058,0,0,1,0
3,70,24,0,1,0,0,6,0.5,1.45121395587921,0,0,1,0
3,71,25,0,1,0,0,0,1.41666662693024,1.54741966724396,0,0,1,0
3,72,26,0,1,0,0,0,2.41666674613953,1.60729420185089,0,0,1,0
3,73,27,0,1,0,0,0,3.33333325386047,1.59726691246033,0,0,1,0
3,75,29,0,1,0,0,23,0.416666656732559,1.53584957122803,0,0,1,0
3,77,31,0,1,0,0,0,2.41666674613953,1.62284064292908,0,0,1,0
3,78,32,0,1,0,0,0,3.41666674613953,1.56663489341736,0,0,1,0
3,80,34,0,1,0,0,0,5.33333349227905,1.55972325801849,0,0,1,0
3,82,36,0,1,0,0,0,7.33333349227905,1.60341930389404,0,0,1,0
3,83,37,0,1,0,0,0,8.33333301544189,1.61422944068909,0,0,1,0
3,85,39,0,1,0,0,0,10.3333330154419,1.73079860210419,0,0,1,0
3,87,41,0,1,0,0,14,0.416666656732559,1.52576541900635,0,0,1,0
3,88,42,0,1,0,0,4,1.25,1.61277687549591,0,0,1,0
4,70,24,0,1,1,1,0,1.41666662693024,2.28850030899048,0,1,0,0
4,71,25,1,0,1,1,0,2.41666674613953,2.3755784034729,0,1,0,0
4,72,26,1,0,1,1,0,3.41666674613953,2.41392302513123,0,1,0,0
4,73,27,1,0,1,0,0,3.75,2.28093910217285,0,1,0,0
4,75,29,1,0,1,0,0,3.75,2.25881385803223,0,1,0,0
4,80,34,1,0,1,0,0,0.333333343267441,1.47623610496521,0,1,0,0
4,82,36,1,0,1,0,0,2.41666674613953,1.28093338012695,0,1,0,0
4,83,37,1,0,1,0,0,3.41666674613953,1.51585483551025,0,1,0,0
